index,anime_id,title,title_english,type,score,genre_list,producer_list,opening_theme,ending_theme,synopsis,related,comb_feat
369,393,Escaflowne,Escaflowne: A Girl in Gaea,Movie,7.09,"['Adventure', 'Drama', 'Fantasy', 'Mecha', 'Romance', 'Sci-Fi', 'Shoujo']",['Atelier Musa'],[],"['""指輪 (Yubiwa - The Ring)"" by Maaya Sakamoto']","Hitomi Kanzaki is in a very depressed mood. She only wants to sleep and fade away. Her misery summons Lord Folken who sends her to Gaea. The people of Gaea think she is the Wing Goddess, who can call upon the legendary Dragon Armor called Escaflowne. On Gaea, King Van, the sole survior of the White Dragon Clan, is also in a depressed state. Swearing an oath to get his revenge on the Black Dragon Clan that obliterated Van's kingdom, he lives by the sword. Now that the Wing Goddess has finally appeared, she posseses Gaea's world fate in her heart. Escaflowne will either lead Gaea to peace or total ruin. (Source: ANN)","{'Alternative version': [{'mal_id': 182, 'type': 'anime', 'name': 'Tenkuu no Escaflowne', 'url': 'https://myanimelist.net/anime/182/Tenkuu_no_Escaflowne'}]}",wing call fade away black gaea ruin romanc clan sakamoto sleep miseri send dragon appear shoujo yubiwa ring lord sword fate kingdom drama obliter survior sole sourc total mood also musa reveng goddess summon state think live ateli world heart fantasi mecha posses peac legendari onli upon armor escaflown lead sci swear maaya peopl either king white oath veri folken want van depress get hitomi final kanzaki adventur
381,405,Blood: The Last Vampire,Blood: The Last Vampire,Movie,6.92,"['Horror', 'Supernatural', 'Vampire']","['Aniplex', 'Sony Interactive Entertainment']",[],[],"Teropterids are evil beasts which pose as humans and live only to drink human blood. Fortunately for the human world there are groups dedicated to destroying them. A brooding and mysterious girl named Saya is the best teropterid slayer there is, and now, in 1960s Japan, she is sent to a U. S. army base which may be infested... (Source: ANN)","{'Adaptation': [{'mal_id': 1080, 'type': 'manga', 'name': 'Blood: The Last Vampire (2002)', 'url': 'https://myanimelist.net/manga/1080/Blood__The_Last_Vampire_2002'}], 'Alternative version': [{'mal_id': 150, 'type': 'anime', 'name': 'Blood+', 'url': 'https://myanimelist.net/anime/150/Blood_'}], 'Other': [{'mal_id': 10490, 'type': 'anime', 'name': 'Blood-C', 'url': 'https://myanimelist.net/anime/10490/Blood-C'}, {'mal_id': 10681, 'type': 'anime', 'name': 'Blood-C: The Last Dark', 'url': 'https://myanimelist.net/anime/10681/Blood-C__The_Last_Dark'}]}",soni brood blood saya horror armi group entertain evil dedic base drink beast supernatur human sent girl interact mysteri sourc slayer aniplex world pose infest destroy may onli name best fortun vampir japan live teropterid
388,415,Tonari no Yamada-kun,My Neighbors the Yamadas,Movie,7.22,"['Slice of Life', 'Comedy']",['Tokuma Shoten'],[],[],"Join in the adventures of the quirky Yamada family—from the hilarious to the touching±brilliantly presented in a unique, visually striking comic strip style. Takashi Yamada and his wacky wife Matsuko, who has no talent for housework, navigate their way through the ups and downs of work, marriage and family life with a sharp-tongued grandmother who lives with them, a teenage son who wishes he had cooler parents, and a pesky daughter whose loud voice is unusual for someone so small. Even the family dog has issues! (Source: Disney)","{'Adaptation': [{'mal_id': 54273, 'type': 'manga', 'name': 'Tonari no Yamada-kun', 'url': 'https://myanimelist.net/manga/54273/Tonari_no_Yamada-kun'}], 'Alternative version': [{'mal_id': 6625, 'type': 'anime', 'name': 'Nono-chan', 'url': 'https://myanimelist.net/anime/6625/Nono-chan'}]}",way loud cooler hilari dog visual housework talent navig comedi touch son work issu quirki famili takashi sharp wife matsuko teenag whose uniqu life slice shoten strike style sourc comic tokuma even join brilliant wish parent strip grandmoth unusu disney someon marriag peski voic present yamada daughter wacki small tongu live adventur
389,416,Kurenai no Buta,Porco Rosso,Movie,8.0,"['Action', 'Military', 'Adventure', 'Comedy', 'Historical', 'Drama', 'Romance']","['Tokuma Shoten', 'Nippon Television Network']",[],"['""Toki ni wa Mukashi no Hanashi wo (時には昔の話を; Once in a While, Talk of the Old Days)"" by Tokiko Kato']","After a curse turned him into a pig, World War I ace Marco Pagot becomes Porco Rosso, a mysterious bounty hunter who takes down sky pirates in the Adriatic Sea. He whiles away his days on a secluded island, rarely leaving other than to collect bounties or to visit the beautiful Gina, a songstress and owner of the Hotel Adriano. One day, while traveling to fix his faulty engine, Porco Rosso is gunned down by a young American hotshot named Donald Curtis. Thrilled at the possibility of fame, Donald boldly declares that the flying pig is dead. Not wanting to disappoint Gina, Porco Rosso flees to the famous Piccolo S.P.A. airplane company and takes out a massive loan in order to repair and improve his fighter plane. There, he is surprised to find that the chief engineer of Piccolo S.P.A. is the 17-year-old Fio Piccolo, who hungers for a chance to prove herself. With Fio's improvements, Porco Rosso prepares to challenge Donald officially and regain his honor. [Written by MAL Rewrite]","{'Adaptation': [{'mal_id': 24979, 'type': 'manga', 'name': 'Hikoutei Jidai', 'url': 'https://myanimelist.net/manga/24979/Hikoutei_Jidai'}]}",seclud piccolo action adriano find marco toki shoten adriat pig hunter visit massiv famous surpris airplan rare chanc chief bounti old improv possibl prepar war regain fix rosso pirat donald turn tokiko histor curs network compani plane world loan militari sky porco name hotshot fighter want offici songstress away fio travel american romanc hotel gun comedi kato disappoint young bold take order owner onc drama gina mysteri fame ace talk thrill leav challeng dead televis day hanashi nippon repair faulti fli pagot island one prove declar year sea beauti mukashi collect tokuma becom hunger engin honor curti flee adventur
391,418,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,"Ranma ½: Big Trouble in Nekonron, China",Movie,7.27,"['Adventure', 'Comedy', 'Shounen']",['Fuji TV'],[],"['""It\'s Love"" by RABBIT']","All is well at the Tendo residence when from out of nowhere, a Chinese girl named Lychee appears, seeking revenge on Happosai for a broken promise made since her birth. Things get worse when Kirin and the Seven Lucky Gods appear and abduct Akane to take as his wife. Ranma and the gang must travel to Nekonron, China, and save Akane from getting married to Kirin. (Source: ANN)","{'Parent story': [{'mal_id': 210, 'type': 'anime', 'name': 'Ranma ½', 'url': 'https://myanimelist.net/anime/210/Ranma_½'}]}",travel gang tendo comedi must appear love take god promis seven lyche wife rabbit nowher made birth girl seek fuji sourc thing shounen reveng wors resid broken abduct ranma kirin china happosai lucki save marri name well nekonron akan sinc get chines adventur
393,420,Spriggan,Spriggan,Movie,6.69,"['Adventure', 'Military', 'Sci-Fi', 'Shounen']","['TBS', 'Nichion']",[],"['""Jing Ling"" by Saju']","Deep in the Ararat Mountains of Turkey, a secret organization known as ARCAM has found what is believed to be Noah's Ark. However, the U.S. Machine Corps., a rogue organization of the Pentagon, wants to take over the Ark as a means of global supremacy. Only a special ARCAM operative known as a Spriggan stands in their way. Japanese Spriggan Yu Ominae teams up with French Spriggan Jean-Jacques Mondo to combat members of the U.S. Machine Corps. led by Col. MacDougall—a genetically-enhanced boy with deadly psionic powers. However, they must act fast and stop MacDougall before he uses the Ark for his own agenda. (Source: ANN)","{'Adaptation': [{'mal_id': 1705, 'type': 'manga', 'name': 'Spriggan', 'url': 'https://myanimelist.net/manga/1705/Spriggan'}], 'Alternative version': [{'mal_id': 39489, 'type': 'anime', 'name': 'Spriggan (ONA)', 'url': 'https://myanimelist.net/anime/39489/Spriggan_ONA'}]}",led way jing arcam found noah pentagon stop known deep turkey omina member machin supremaci enhanc tbs global must psionic use corp jacqu take power nichion mondo genet act stand believ howev macdougal mean saju ling special french col sourc mountain agenda shounen secret ararat militari befor ark onli oper sci dead jean boy rogu japanes spriggan combat team fast want organ adventur
403,430,Fullmetal Alchemist: The Conqueror of Shamballa,Fullmetal Alchemist: The Movie - Conqueror of Shamballa,Movie,7.6,"['Military', 'Comedy', 'Historical', 'Drama', 'Fantasy', 'Shounen']","['Aniplex', 'Square Enix', 'Shochiku', 'Mainichi Broadcasting System']","['""Link"" by L\'Arc~en~Ciel']","['""Lost Heaven"" by L\'Arc~en~Ciel']","In desperation, Edward Elric sacrificed his body and soul to rescue his brother Alphonse, and is now displaced in the heart of Munich, Germany. He struggles to adapt to a world completely foreign to him in the wake of the economic crisis that followed the end of World War I. Isolated and unable to return home with his alchemy skills, Edward continues to research other methods of escaping the prison alongside colleagues who bear striking resemblances to many of the people he left behind. As dissent brews among the German citizenry, its neighbors also feel the unrest of the humiliated nation. Meanwhile, Alphonse continues to investigate Edward's disappearance, delving into the science of alchemy in the hopes of finally reuniting with his older brother. [Written by MAL Rewrite]","{'Prequel': [{'mal_id': 121, 'type': 'anime', 'name': 'Fullmetal Alchemist', 'url': 'https://myanimelist.net/anime/121/Fullmetal_Alchemist'}], 'Spin-off': [{'mal_id': 908, 'type': 'anime', 'name': 'Fullmetal Alchemist: Premium Collection', 'url': 'https://myanimelist.net/anime/908/Fullmetal_Alchemist__Premium_Collection'}]}",mainichi citizenri reunit broadcast rescu home scienc escap continu alphons system sacrif method shounen research bear mani lost econom desper investig arc left unabl resembl squar final isol enix unrest war behind humili among crisi strike hope heart histor edward world militari ciel brother munich wake comedi soul feel colleagu delv older alchemi drama end aniplex also alongsid neighbor fantasi return peopl displac struggl elric shochiku german adapt germani disappear complet brew meanwhil bodi skill dissent link nation heaven prison foreign follow
404,431,Howl no Ugoku Shiro,Howl's Moving Castle,Movie,8.68,"['Adventure', 'Drama', 'Fantasy', 'Romance']","['d-rights', 'Tokuma Shoten']","['""Sekai no Yakusoku (世界の約束; The Promise of the World)"" by Chieko Baisho']",[],"That jumbled piece of architecture, that cacophony of hissing steam and creaking joints, with smoke billowing from it as it moves on its own... That castle is home to the magnificent wizard Howl, infamous for both his magical prowess and for being a womanizer—or so the rumor goes in Sophie Hatter's small town. Sophie, as the plain daughter of a hatmaker, does not expect much from her future and is content with working hard in the shop. However, Sophie's simple life takes a turn for the exciting when she is ensnared in a disturbing situation, and the mysterious wizard appears to rescue her. Unfortunately, this encounter, brief as it may be, spurs the vain and vengeful Witch of the Waste—in a fit of jealousy caused by a past discord with Howl—to put a curse on the maiden, turning her into an old woman. In an endeavor to return to normal, Sophie must accompany Howl and a myriad of eccentric companions—ranging from a powerful fire demon to a hopping scarecrow—in his living castle, on a dangerous adventure as a raging war tears their kingdom apart. [Written by MAL Rewrite]",{},baisho discord content appear rescu home witch promis magic shop shoten put town adventur expect futur wizard may hard unfortun encount veng jumbl kingdom live danger old war work sekai endeavor woman normal life yakusoku turn howl rumor curs world steam situat sophi scarecrow past disturb brief small fit simpl romanc must hiss eccentr doe vain right take fire jealousi companion drama howev mysteri rage chieko fantasi hop maiden return plain rang creak cacophoni daughter much hatmak castl architectur move billow apart goe power tear excit prowess hatter demon spur tokuma wast piec joint caus myriad smoke accompani infam magnific ensnar
406,433,"Kumo no Mukou, Yakusoku no Basho",The Place Promised in Our Early Days,Movie,7.61,"['Drama', 'Military', 'Romance', 'Sci-Fi']",[],[],"['""Kimi no Koe"" by Kawashima, Ai']","Hiroki Fujisawa and Takuya Shirakawa harbor admiration for two things in their life: their classmate Sayuri Sawatari and the vast Ezo Tower that stands boundlessly across the Tsugaru Strait. Fascinated by the limitless structure beyond their reach, Hiroki and Takuya begin constructing an aeroplane from a fallen drone they discovered—naming it the Bella Ciela—to fulfill their dream of one day reaching the sky-scraping top of the tower. Later joined by the girl they love, Hiroki and Takuya promise Sayuri to fly with her to the seemingly otherworldly top together. However, Japan has suffered a North-South partitioning that has fueled conflict near the base of the tower, which marks the border between the America-controlled Southern islands and the Northern lands occupied by the Soviet Union. Further along, Sayuri suddenly disappears, and Hiroki and Takuya never see her again. Unbeknownst to them, she fell victim to a sleeping disorder that left her comatose for the past three years. Although Hiroki and Takuya later learn about Sayuri's condition, they also discover that the girl's unconscious state is oddly linked to the same tower the trio had promised to conquer together. [Written by MAL Rewrite]","{'Adaptation': [{'mal_id': 7247, 'type': 'manga', 'name': 'Kumo no Mukou, Yakusoku no Basho', 'url': 'https://myanimelist.net/manga/7247/Kumo_no_Mukou_Yakusoku_no_Basho'}]}",never reach conquer control sudden partit promis fuel fascin northern top state beyond across structur three left limitless america sawatari disord kimi sleep south togeth mark base near tsugaru suffer life fell fujisawa otherworld vast bella shirakawa strait soviet aeroplan militari southern sky ciela later name two discov past ezo japan kawashima union romanc occupi fulfil tower along love scrape drama stand howev sayuri thing also join koe condit although learn begin boundless see unbeknownst unconsci day construct fli odd hiroki disappear island one harbor conflict border classmat year victim admir girl trio link seem fallen comatos north takuya drone sci dream land
409,437,Perfect Blue,Perfect Blue,Movie,8.42,"['Dementia', 'Drama', 'Horror', 'Psychological']",['Rex Entertainment'],"['""Ai no Tenshi"" by Misa, Emiko Furakawa and Mie Shimizu']","['""Season"" by M-Voice']","J-pop idol group CHAM! has spent the last two years entertaining its fans. Sadly, all good things must come to an end, and CHAM! must see one of its members, Mima Kirigoe, leave the group to pursue her acting career. While Mima's choice is met with a mixed response, she hopes her fans will continue to support her. However, Mima's life begins to change drastically after her departure from the group. Wanting to shed her pop-idol image, she takes on a role in a crime drama series, and her career as an actress gradually becomes more demanding and taxing for both Mima and her manager, Rumi Hidaka. To add to Mima's growing unease, an obsessed fan who is incapable of accepting that Mima has quit being an innocent idol, begins stalking her; a new anonymous website begins to impersonate her life with intricate detail; and CHAM! also appears to be doing better without her. One by one, each disturbing development drives Mima to become increasingly unhinged and unable to distinguish reality from fantasy. [Written by MAL Rewrite]",{},support incap pop grow appear rumi group mie drastic shimizu continu hidaka tax actress quit dementia add imag voic crime manag unabl sad mima anonym kirigo realiti horror detail furakawa obsess life psycholog mix distinguish hope tenshi choic without spent innoc role idol stalk rex two fan pursu disturb want gradual new met good must cham uneas take act drama imperson howev websit thing end also increas respons leav unhing last fantasi departur begin see seri develop demand chang member come entertain accept one year misa emiko becom season better career drive intric shed
413,441,Shoujo Kakumei Utena: Adolescence Mokushiroku,Revolutionary Girl Utena: The Adolescence of Utena,Movie,7.58,"['Dementia', 'Drama', 'Fantasy', 'Romance', 'Shoujo', 'Shoujo Ai']",['Audio Tanaka'],[],"['""Fiancé ni Naritai"" by Mitsuhiro Oikawa']","All eyes are on Utena Tenjou, a mysterious transfer student to Ohtori Academy. But Utena's eyes seem to be fixed on one familiar face that stands out among the rest—Touga Kiryuu, Utena's childhood friend. Touga knows of Utena's past and possesses knowledge of the Mark of the Rose, a set of unique rings worn by those who compete for the hand of the Rose Bride. The Rose Bride, Himemiya Anthy, belongs to whomever wins her in a duel, and the one that wins all the duels is said to be given the power to bring revolution to the world. Utena is drawn into the duels, but Touga and their complicated history together may end up unraveling everything. Nothing is as it seems in this retelling of the original anime series. [Written by MAL Rewrite]","{'Adaptation': [{'mal_id': 931, 'type': 'manga', 'name': 'Shoujo Kakumei Utena: Adolescence Mokushiroku', 'url': 'https://myanimelist.net/manga/931/Shoujo_Kakumei_Utena__Adolescence_Mokushiroku'}], 'Alternative version': [{'mal_id': 440, 'type': 'anime', 'name': 'Shoujo Kakumei Utena', 'url': 'https://myanimelist.net/anime/440/Shoujo_Kakumei_Utena'}]}",given tanaka oikawa tenjou utena histori romanc whomev bring anthi mitsuhiro rose shoujo belong hand ohtori audio mark drawn togeth fix one familiar ring power himemiya eye among touga uniqu unravel origin possess fianc friend win drama stand childhood know complic retel mysteri seri anim rest end seem student duel revolut world fantasi dementia may worn everyth knowledg set noth face naritai bride past compet academi said transfer kiryuu
414,442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,7.12,"['Adventure', 'Comedy', 'Historical', 'Supernatural', 'Drama', 'Shounen']","['Aniplex', 'Bandai', 'TV Tokyo Music', 'Shueisha']",[],"['""Home Sweet Home"" by Yuki""Never Give Up"" by Jeremy Sweet (English version)']","Naruto Uzumaki and his squadmates, Sasuke Uchiha and Sakura Haruno, are sent on a mission to escort a movie crew on its way to film in the Land of Snow. They soon find out that they are accompanying a famous actress, Yukie Fujikaze, who persistently refuses to travel there, making the trip far more difficult than originally intended. After a surprising encounter with ninjas from the Land of Snow, Naruto discovers that there is more to Yukie than meets the eye. Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! follows the group as they attempt to overcome the obstacles in the Land of Snow and unveil Yukie's true purpose there as well. [Written by MAL Rewrite]","{'Adaptation': [{'mal_id': 96762, 'type': 'manga', 'name': 'Naruto: Dai Katsugeki! Yuki Hime Shinobu Houjou Datteba yo!!', 'url': 'https://myanimelist.net/manga/96762/Naruto__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Datteba_yo'}], 'Parent story': [{'mal_id': 20, 'type': 'anime', 'name': 'Naruto', 'url': 'https://myanimelist.net/anime/20/Naruto'}], 'Side story': [{'mal_id': 2248, 'type': 'anime', 'name': 'Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undoukai', 'url': 'https://myanimelist.net/anime/2248/Naruto__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo_-_Konoha_no_Sato_no_Dai_Undoukai'}]}",way refus sweet version follow travel dattebayo sakura naruto never shueisha movi film give mission shinobu comedi intend snow home group far dai soon obstacl tokyo haruno supernatur english uchiha find escort trip origin sent ninja music eye drama crew attempt purpos squadmat sasuk actress aniplex katsugeki shounen histor bandai houjou persist hime famous true surpris encount overcom make unveil discov well meet yuki uzumaki accompani fujikaz land difficult jeremi adventur
421,449,InuYasha Movie 4: Guren no Houraijima,InuYasha the Movie 4: Fire on the Mystic Island,Movie,7.55,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",[],[],"['""Rakuen(Paradise)"" by Do as Infinity']","The mysterious island of Houraijima has reappeared after 50 years, and with its reappearance has brought the attack of four gods, the Shitoushin, who have their eyes set on the powers that protect and sustain the island. Now it's up to Inuyasha and his friends, along with Sesshoumaru, to find a way to defeat the powerful Shitoushin. (Source: ANN)","{'Parent story': [{'mal_id': 249, 'type': 'anime', 'name': 'InuYasha (TV)', 'url': 'https://myanimelist.net/anime/249/InuYasha_TV'}]}",sustain way attack romanc brought action rakuen comedi inuyasha defeat along island god infin supernatur power eye find magic year houraijima shitoushin friend drama four reappear sesshoumaru paradis mysteri demon sourc shounen histor fantasi set protect adventur
422,450,InuYasha Movie 2: Kagami no Naka no Mugenjo,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,7.67,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']","['Kyoto Animation', 'Production Reed']",[],"['""Yura Yura"" by Every Little Thing']","Inuyasha and company have finally destroyed Naraku. And each start to go in their separate ways. Sango going to find her younger brother Kohaku; Miroku back to his old home; Inuyasha, Kagome and Shippou go to gather the rest of the Shikon shards. Unfortunately this peace is not to last. Shortly afterwards the full moon rises, and just keeps rising each night bringing with it the promise of danger. Kagura and Kanna go in search of a mirror, where locked inside is the ruler of the eternal night, Kaguya. To set her free they must gather five items and drop them into the five lakes of Fuji. Setting her free means the worst danger for Inuyasha and the others. Who are forced to face this new threat. (Source: ANN)","{'Parent story': [{'mal_id': 249, 'type': 'anime', 'name': 'InuYasha (TV)', 'url': 'https://myanimelist.net/anime/249/InuYasha_TV'}]}",naraku gather action sango keep home promis find magic shounen full unfortun ruler rise final danger old mirror insid night littl fuji shard mean sourc histor compani kanna afterward destroy reed free kohaku separ way younger romanc new five brother moon comedi must threat etern worst item everi supernatur drop kagura drama lock anim thing rest start fantasi last peac short back yura bring kagom inuyasha kyoto kaguya shikon miroku demon shippou product search set lake forc face adventur
423,451,InuYasha Movie 3: Tenka Hadou no Ken,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,7.81,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",['Kyoto Animation'],[],"['""Four Seasons"" by Namie Amuro']","Izayoi and Inu no Taishou, Inuyasha's parents, are having problems with a human named Setsuna no Takemaru. Sou'unga a magical sword that has been sealed away for 700 years is found. Now everyone is after the sword and its powers but it seems the sword has something else in mind. (Source: ANN)","{'Parent story': [{'mal_id': 249, 'type': 'anime', 'name': 'InuYasha (TV)', 'url': 'https://myanimelist.net/anime/249/InuYasha_TV'}]}",away found problem els romanc unga mind action inu seal comedi inuyasha someth nami sou kyoto supernatur sword human power magic year everyon four drama izayoi setsuna demon sourc anim shounen histor seem takemaru fantasi parent season name amuro taishou adventur
424,452,InuYasha Movie 1: Toki wo Koeru Omoi,InuYasha the Movie: Affections Touching Across Time,Movie,7.59,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",[],[],"['""No More Words"" by Ayumi Hamasaki']","Inu-Yasha has mastered the ultimate attack of the Tetsusaiga and continues his battle for the Shikon Jewel shards with Kagome, Shippo, Sango, and Miroku. Unfortunately, a freak occurance with a jewel shard has brought to life an incarnation of a demonic enemy sealed by Inu-Yashas' father. Inu-Yasha must surpass his father and destroy this demon or every soul in Japan will be consumed. (Source: ANN)","{'Parent story': [{'mal_id': 249, 'type': 'anime', 'name': 'InuYasha (TV)', 'url': 'https://myanimelist.net/anime/249/InuYasha_TV'}]}",attack romanc brought action inu sango jewel kagom incarn occur seal comedi soul must master consum continu everi supernatur surpass magic life battl shikon drama shard miroku demon sourc father word hamasaki enemi shounen histor tetsusaiga ayumi fantasi destroy yasha ultim unfortun shippo japan freak adventur
430,459,One Piece Movie 1,One Piece Movie 1,Movie,7.13,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Fantasy', 'Shounen']",[],"['""We Are!"" by Hiroshi Kitadani']","['""Memories"" by Maki Otsuki']","Woonan is the legendary Great Gold Pirate, earning the nickname after accumulating about 1/3 of the gold available in the world. Even after his disappearance, the tales of his gold being stashed away in a remote island continue to persist, a juicy target that other pirates lust for. One of the pirates going to great lengths to attain the treasure is El Drago. He and his crew have hunted down Woonan's former crew members one by one, and along the way, they find the map that will take them to the hidden island. The map is not all they come across; they also manage to come into contact with the straw hat pirates. After a short battle, Luffy and company are robbed and separated from one another. Now they must find a way to make it to the island before El Drago does and take the legendary treasure for themselves.","{'Parent story': [{'mal_id': 21, 'type': 'anime', 'name': 'One Piece', 'url': 'https://myanimelist.net/anime/21/One_Piece'}]}",way away hiroshi length hunt action great drago otsuki comedi maki member anoth disappear come along juici tale rob must doe accumul take gold island continu target power pirat one find hat super straw battl earn former crew contact stash attain also shounen compani even world across fantasi persist befor legendari avail memori kitadani hidden short treasur make nicknam remot woonan manag themselv lust map separ luffi adventur
431,460,One Piece Movie 2: Nejimaki-jima no Daibouken,One Piece: Clockwork Island Adventure,Movie,7.2,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Fantasy', 'Shounen']","['Fujipacific Music', 'Shueisha']","['""Believe"" by Folder 5']","['""Believe"" by Folder 5']","Informed by the Thief Brothers his ship has been stolen by the Trump Kyoudai (Trump Siblings) who have set up base on Clockwork Island. Monkey D. Luffy, Captain of the Going Merry and aspiring Pirate King works with his crew - Ussop, Zoro, Sanji and Nami to battle their way up Clockwork Island to reclaim their ship. (Source: ANN)","{'Parent story': [{'mal_id': 21, 'type': 'anime', 'name': 'One Piece', 'url': 'https://myanimelist.net/anime/21/One_Piece'}], 'Side story': [{'mal_id': 2385, 'type': 'anime', 'name': 'One Piece: Jango no Dance Carnival', 'url': 'https://myanimelist.net/anime/2385/One_Piece__Jango_no_Dance_Carnival'}]}",fujipacif way ship zoro captain shueisha action folder brother sibl ussop comedi trump work nami merri base thief island power pirat super battl music crew believ stolen aspir sanji sourc shounen reclaim fantasi clockwork inform set king kyoudai monkey luffi adventur
432,461,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,One Piece: Chopper Kingdom of Strange Animal Island,Movie,7.03,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Fantasy', 'Shounen']",['Fujipacific Music'],[],"['""Mabushikute"" by DASEIN']",The crew comes upon Crown Island where the animals can talk and they makes Chopper their new king. But there are human hunters there also looking for the legendary horns that will give the person who consumes it immense power. Luffy and friends must stop them from destroying this animal kingdom. (Source: ANN),"{'Parent story': [{'mal_id': 21, 'type': 'anime', 'name': 'One Piece', 'url': 'https://myanimelist.net/anime/21/One_Piece'}], 'Side story': [{'mal_id': 2386, 'type': 'anime', 'name': 'One Piece: Yume no Soccer Ou!', 'url': 'https://myanimelist.net/anime/2386/One_Piece__Yume_no_Soccer_Ou'}]}",fujipacif stop person new action give comedi chopper must come mabushikut consum horn island power human super music friend crew sourc anim hunter also shounen talk fantasi look destroy legendari dasein upon immens make king kingdom crown luffi adventur
433,462,One Piece Movie 4: Dead End no Bouken,One Piece: Dead End,Movie,7.62,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Fantasy', 'Shounen']",['Fujipacific Music'],[],"['""sailing day"" by BUMP OF CHICKEN']","Luffy and crew arrive at the harbour of Anabaru. The local casino is holding a competition in which the winner will obtain a huge monetary reward if he reaches the finishing line first. Nami is elated and decides to participate in the competition. However, there is a conspiracy going behind the competition and the mastermind is an ex-military commander, Gasparde. His plan is to lure all the pirates to the military base and send them to their deaths. Luffy and gang have to overcome the numerous tests and tribulations along the way to complete this dead-end adventure. (Source: ANN)","{'Parent story': [{'mal_id': 21, 'type': 'anime', 'name': 'One Piece', 'url': 'https://myanimelist.net/anime/21/One_Piece'}]}",fujipacif way tribul particip casino test reach action bump mastermind command gang first monetari comedi send along nami behind death decid hold chicken base local complet power pirat obtain finish lure super elat music winner crew howev numer huge reward sourc harbour end anabaru shounen adventur plan conspiraci sail line fantasi militari competit arriv overcom dead gaspard luffi day
434,463,One Piece Movie 5: Norowareta Seiken,One Piece: The Curse of the Sacred Sword,Movie,7.28,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Fantasy', 'Shounen']",[],[],"['""Ano Basho E"" by Harebare']","Luffy and crew go to an island searching for a legendary sword, said to be the most expensive in the world. Soon attacking marines and beautiful maidens split the crew. Zoro betrays the crew to help an old friend, Luffy and Usopp wander through a cave, and the rest help a village fight marines. When Zoro defeats Sanji he takes the sacred pearls that are the only defense against the evil sword that will plunge the world into darkness. (Source: ANN)","{'Parent story': [{'mal_id': 21, 'type': 'anime', 'name': 'One Piece', 'url': 'https://myanimelist.net/anime/21/One_Piece'}], 'Side story': [{'mal_id': 2490, 'type': 'anime', 'name': 'One Piece: Mezase! Kaizoku Yakyuu Ou', 'url': 'https://myanimelist.net/anime/2490/One_Piece__Mezase_Kaizoku_Yakyuu_Ou'}]}",wander old sacr usopp zoro attack betray action comedi defeat villag evil soon take island power sword fight super friend marin crew sanji sourc beauti rest shounen plung pearl basho world fantasi maiden search ano expens legendari help onli cave dark split said harebar defens luffi adventur
